bedrooms,bathrooms,sqfeet,city,zip,sale,type
2,2.0,1024,SanMateo,94403,620000,singleFamily
2,1.0,900,SanMateo,94403,806000,singleFamily
2,1.0,1031,SanMateo,94403,590000,condo
3,3.0,1700,SanMateo,94403,1232000,singleFamily
3,3.0,2060,SanMateo,94404,1235000,condo
1,1.0,772,SanMateo,94401,468000,condo
4,2.0,1830,SanMateo,94403,1176000,singleFamily
4,4.0,2603,SanMateo,94403,2200000,singleFamily
2,2.0,1292,SanMateo,94403,550000,condo
1,1.0,794,SanMateo,94401,293000,condo
2,1.0,870,SanMateo,94403,420000,singleFamily
3,1.0,1140,SanMateo,94401,665000,singleFamily
4,2.0,1920,SanMateo,94402,852000,singleFamily
2,2.0,1100,SanMateo,94401,644000,condo
2,1.0,903,SanMateo,94401,601000,condo
4,2.5,2510,SanMateo,94403,1400000,singleFamily
1,1.0,693,SanMateo,94401,410000,condo
4,3.0,2589,SanMateo,94403,1354000,singleFamily
2,2.0,1452,SanMateo,94401,805000,condo
5,3.0,2089,SanMateo,94403,1635000,singleFamily
3,2.0,1280,Millbrae,94030,284500,singleFamily
6,4.0,3243,Millbrae,94030,1950000,singleFamily
3,2.0,1870,Millbrae,94030,1490000,singleFamily
2,2.0,1417,Millbrae,94030,3000,condo
2,1.0,1000,Millbrae,94030,690000,singleFamily
1,1.0,774,Millbrae,94030,43000,condo
3,1.5,1450,Millbrae,94030,605000,singleFamily
5,3.0,3250,Millbrae,94030,1575000,singleFamily
2,2.0,1060,Millbrae,94030,680000,condo
6,5.0,5668,Millbrae,94030,2109000,multiFamily
3,2.0,1370,Millbrae,94030,1160000,singleFamily
3,3.0,2040,Millbrae,94030,1430000,singleFamily
3,2.0,1910,Millbrae,94030,1655000,singleFamily
5,3.0,3160,Millbrae,94030,1418000,singleFamily
4,2.0,1930,Millbrae,94030,1560000,singleFamily
3,2.0,1720,Millbrae,94030,1204500,singleFamily
3,1.25,1670,MILLBRAE,94030,1301000,singleFamily
6,4.5,3952,Millbrae,94030,2950000,singleFamily
3,3.5,2560,Millbrae,94030,1500000,singleFamily
4,2.0,2267,Millbrae,94030,1525000,multiFamily
3,2.0,1190,SanBruno,94066,722000,singleFamily
4,0.0,2001,SanBruno,94066,795000,singleFamily
2,2.0,1786,SanBruno,94066,720000,multiFamily
3,2.0,1440,SanBruno,94066,800000,singleFamily
3,2.0,1160,SanBruno,94066,825000,singleFamily
4,2.0,1,SanBruno,94066,585000,singleFamily
4,4.0,2840,SanBruno,94066,1135000,singleFamily
3,2.0,1160,SanBruno,94066,700000,singleFamily
1,1.0,650,SanBruno,94066,365000,condo
1,1.0,650,SanBruno,94066,330000,condo
4,3.0,1830,SanBruno,94066,950000,singleFamily
2,1.0,1390,SanBruno,94066,650000,singleFamily
3,1.5,1306,SanBruno,94066,705000,singleFamily
1,1.0,680,SanBruno,94066,338000,condo
3,3.0,1160,SanBruno,94066,825000,singleFamily
4,3.0,1850,SanBruno,94066,900000,singleFamily
3,1.0,1300,SanBruno,94066,900000,singleFamily
4,3.0,2376,SanBruno,94066,1061000,singleFamily
7,5.0,4367,SanBruno,94066,1570000,multiFamily
2,1.5,910,SanBruno,94066,575000,singleFamily
2,1.0,840,SouthSanFrancisco,94080,450000,condo
4,2.0,1430,SouthSanFrancisco,94080,685000,singleFamily
1,1.0,842,SouthSanFrancisco,94080,400000,condo
2,1.0,840,SouthSanFrancisco,94080,460000,condo
3,1.0,960,SouthSanFrancisco,94080,515000,singleFamily
3,2.0,1120,SouthSanFrancisco,94080,733000,singleFamily
4,3.5,2440,SouthSanFrancisco,94080,1020000,singleFamily
2,1.0,760,SouthSanFrancisco,94080,600000,singleFamily
1,1.0,935,SouthSanFrancisco,94080,478000,condo
2,1.0,820,SouthSanFrancisco,94080,525000,singleFamily
3,2.0,1310,SouthSanFrancisco,94080,740000,singleFamily
4,2.0,1900,SouthSanFrancisco,94080,922000,singleFamily
3,1.0,1310,SouthSanFrancisco,94080,730000,singleFamily
2,2.0,1140,SouthSanFrancisco,94080,590000,singleFamily
4,2.0,1650,SouthSanFrancisco,94080,700000,singleFamily
2,2.0,1082,SouthSanFrancisco,94080,555000,condo
2,1.5,1130,SouthSanFrancisco,94080,628000,singleFamily
3,2.0,1050,SouthSanFrancisco,94080,680000,singleFamily
5,3.0,2390,SouthSanFrancisco,94080,1231000,singleFamily
2,2.0,1105,SouthSanFrancisco,94080,517000,condo
3,2.5,1700,Burlingame,94010,1430000,singleFamily
2,2.5,1260,Burlingame,94010,935000,condo
2,2.0,1590,Burlingame,94010,1375000,singleFamily
2,1.0,1240,Burlingame,94010,1249000,singleFamily
3,3.5,2460,Burlingame,94010,1856500,singleFamily
3,2.0,2150,Burlingame,94010,1575000,singleFamily
3,1.0,1680,Burlingame,94010,1400000,singleFamily
1,1.0,800,Burlingame,94010,545000,condo
2,2.0,1245,Burlingame,94010,600000,condo
2,2.5,1380,Burlingame,94010,857000,singleFamily
2,2.5,1200,Burlingame,94010,650000,singleFamily
3,2.0,1810,Burlingame,94010,1735000,singleFamily
3,2.0,1370,Burlingame,94010,1110000,singleFamily
3,2.5,2450,Burlingame,94010,1350000,singleFamily
3,3.0,2590,Burlingame,94010,2200000,singleFamily
3,1.0,1150,Burlingame,94010,1100000,singleFamily
